source_rank,company_name,domain,input_linkedin_url,source_basis,api_name,legal_name,legal_name_source_field,legal_name_status,website_domain,website_domain_source_field,website_domain_status,linkedin_url,linkedin_url_source_field,linkedin_url_status,employee_count,employee_count_source_field,employee_count_status,headcount_growth_1_year,headcount_growth_1_year_source_field,headcount_growth_1_year_status,revenue_revenue_band,revenue_revenue_band_source_field,revenue_revenue_band_status,industry,industry_source_field,industry_status,sub_industry,sub_industry_source_field,sub_industry_status,headquarters_location,headquarters_location_source_field,headquarters_location_status,number_of_sites_locations,number_of_sites_locations_source_field,number_of_sites_locations_status,founded_year,founded_year_source_field,founded_year_status,ownership_type,ownership_type_source_field,ownership_type_status,total_funding_raised,total_funding_raised_source_field,total_funding_raised_status
1,DBS Group,dbs.com,https://www.linkedin.com/company/dbs-bank,Wikipedia / LinkedIn,Coresignal Multi-source Company Enrichment API,DBS Bank Ltd.,company_legal_name,Available,dbs.com,website_domain,Available,https://sg.linkedin.com/company/dbs-bank,canonical_linkedin_url,Available,34100,employees_count,Available,2.58%,employees_count_change.change_yearly_percentage,Available,"{'source_5_annual_revenue': {'annual_revenue': 16413713580, 'annual_revenue_currency': 'USD'}, 'source_1_annual_revenue': {'annual_revenue': 34382000128.0, 'annual_revenue_currency': 'USD'}}",revenue_annual,Available,Banking,industry,Available,"banking, banking and finance, digital voucher programs, lending solutions, sustainability, responsible banking, financial-services, banks, commercial-banks, financial-management, holding-company, finance, financial services | NAICS: 52, 522 | SIC: 60, 602","categories_and_keywords, naics_codes, sic_codes",Available,"12 Marina Boulevard; DBS Asia Central @ Marina Bay Financial Centre Tower 3; Singapore, 018982, SG",hq_full_address,Available,10,company_locations_full,Available,1968,founded_year,Available,Public,ownership_status,Available,3989399993 USD,funding_rounds[].amount_raised,Available
2,Singapore Telecommunications,singtel.com,https://www.linkedin.com/company/singtel,User provided company list,Coresignal Multi-source Company Enrichment API,Singapore Telecommunications Limited,company_legal_name,Available,singtel.com,website_domain,Available,https://sg.linkedin.com/company/singtel,canonical_linkedin_url,Available,8341,employees_count,Available,Not Available,Not Available,Not Available,"{'source_5_annual_revenue': {'annual_revenue': 10534059382, 'annual_revenue_currency': 'USD'}, 'source_1_annual_revenue': {'annual_revenue': 14146100224.0, 'annual_revenue_currency': 'USD'}}",revenue_annual,Available,Telecommunications,industry,Available,"telecommunications, internet, computer networking, wireless technology, it & services, satellite services, digital, mobile infotainment, after-sales service, enterprise solutions, r&d, cyber security, internet of things, digital marketing, cloud computing, smart cities, communications infrastructure, enterprise applications, mobile, communications, appliances, broadband, connectivity, distribution, ecommerce, wearables, fixed, communications group, data",categories_and_keywords,Available,"10 Eunos Road 8; Singapore Post Centre #07-31; Singapore, 408600, SG",hq_full_address,Available,4,company_locations_full,Available,1879,founded_year,Available,Public,ownership_status,Available,1683491606 USD,funding_rounds[].amount_raised,Available
3,United Overseas Bank,uobgroup.com,https://www.linkedin.com/company/uob,User provided company list,Coresignal Multi-source Company Enrichment API,United Overseas Bank Limited Co.,company_legal_name,Available,uobgroup.com,website_domain,Available,https://sg.linkedin.com/company/uob,canonical_linkedin_url,Available,28959,employees_count,Available,5.68%,employees_count_change.change_yearly_percentage,Available,"{'source_5_annual_revenue': {'annual_revenue': 10919241831, 'annual_revenue_currency': 'USD'}, 'source_1_annual_revenue': {'annual_revenue': 26495000576.0, 'annual_revenue_currency': 'USD'}}",revenue_annual,Available,Banking,industry,Available,"financial-services, commercial-banks, insurance, investment-management, banking, finance, financial services | NAICS: 52, 522 | SIC: 60, 602","categories_and_keywords, naics_codes, sic_codes",Available,"80 Raffles Place; Singapore, 048624, SG",hq_full_address,Available,7,company_locations_full,Available,1935,founded_year,Available,Public,ownership_status,Available,Not Available,Not Available,Not Available
4,ST Engineering,stengg.com,https://www.linkedin.com/company/st-engineering,User provided company list,Coresignal Multi-source Company Enrichment API,Singapore Technologies Engineering Ltd.,company_legal_name,Available,stengg.com,website_domain,Available,https://sg.linkedin.com/company/st-engineering,canonical_linkedin_url,Available,18188,employees_count,Available,9.57%,employees_count_change.change_yearly_percentage,Available,"{'source_5_annual_revenue': {'annual_revenue': 8744375937, 'annual_revenue_currency': 'USD'}, 'source_1_annual_revenue': {'annual_revenue': 12346426368.0, 'annual_revenue_currency': 'USD'}}",revenue_annual,Available,Engineering Services,industry,Available,"engineering, aviation, artificial intelligence, cybersecurity, ai, security, analytics, critical infrastructure, autonomy, quantum technology, financial services, healthcare, transportation, mobility, mro, simulation, aerospace, land systems, marine, technology, innovation, defence, smart cities, robotics, public security, digital technologies, smart city, smart mobility, smart security, artificial-intelligence, data-management, defense, infrastructure, internet-of-things, vehicles, consumer electronics, electronics, industrial engineering, information services, information technology, manufacturing, service industry, software, telecommunications",categories_and_keywords,Available,"ST Engineering Hub; 1 Ang Mo Kio Electronics Park Road, #07-01; Singapore, 567710, SG",hq_full_address,Available,4,company_locations_full,Available,1967,founded_year,Available,Public,ownership_status,Available,130000000 SGD,funding_rounds[].amount_raised,Available
5,Toyota Motor Corporation,global.toyota,https://www.linkedin.com/company/toyota,User provided company list,Coresignal Multi-source Company Enrichment API,Toyota Motor Corporation,company_name,Available,global.toyota,website_domain,Available,https://jp.linkedin.com/company/toyota,canonical_linkedin_url,Available,38085,employees_count,Available,22.98%,employees_count_change.change_yearly_percentage,Available,"{'source_5_annual_revenue': {'annual_revenue': 418340290722, 'annual_revenue_currency': 'USD'}, 'source_1_annual_revenue': {'annual_revenue': 48036705206272.0, 'annual_revenue_currency': 'JPY'}}",revenue_annual,Available,Motor Vehicle Manufacturing,industry,Available,"automotive, toyota, sustainability, newsroom, global, automotive-transportation, auto-parts, distribution, fuel-cells, vehicles, consulting, information technology | NAICS: 33, 336 | SIC: 37, 371","categories_and_keywords, naics_codes, sic_codes",Available,"1 Toyota-Cho; Toyota City, Aichi Prefecture 471-8571, JP",hq_full_address,Available,7,company_locations_full,Available,1937,founded_year,Available,Public,ownership_status,Available,Not Available,Not Available,Not Available
6,Sony Group Corporation,sony.com,https://www.linkedin.com/company/sony,User provided company list,Coresignal Multi-source Company Enrichment API,Sony,company_name,Available,sony.com,website_domain,Available,https://www.linkedin.com/company/sony,canonical_linkedin_url,Available,24214,employees_count,Available,2.45%,employees_count_change.change_yearly_percentage,Available,"{'source_5_annual_revenue': {'annual_revenue': 86469744028, 'annual_revenue_currency': 'USD'}, 'source_1_annual_revenue': {'annual_revenue': 12957063839744.0, 'annual_revenue_currency': 'JPY'}}",revenue_annual,Available,Entertainment Providers,industry,Available,"technology, game (such as playstation), entertainment (such as motion pictures and music), and financial services (such as insurance and banking) sectors., manufacturing-industrial, electronic-components, electronics, sensors, businesses and products, sustainability, sony group corporation, design",categories_and_keywords,Available,"1-7-1 Konan,; Minato-ku; Tokyo, 108-0075, JP",hq_full_address,Available,5,company_locations_full,Available,2016-06-23,created_at,Available,Public,ownership_status,Available,Not Available,Not Available,Not Available
7,Samsung Electronics,samsung.com,https://www.linkedin.com/company/samsung-electronics,User provided company list,Coresignal Multi-source Company Enrichment API,"Samsung Electronics Co., Ltd",company_legal_name,Available,samsung.com,website_domain,Available,https://www.linkedin.com/company/samsung-electronics,canonical_linkedin_url,Available,180322,employees_count,Available,12.43%,employees_count_change.change_yearly_percentage,Available,"{'source_5_annual_revenue': {'annual_revenue': 161407240007, 'annual_revenue_currency': 'USD'}, 'source_1_annual_revenue': {'annual_revenue': 333605914017792.0, 'annual_revenue_currency': 'KRW'}}",revenue_annual,Available,Computers and Electronics Manufacturing,industry,Available,"electronics, technology, smartphone, television, home appliances, semiconductor, wearables, vr, tablet, laptop, home entertainment systems, digital signage, medical devices, led, home electronics, mobile, samsung, tv, manufacturing-industrial, consumer-products-services, electronic-components, semiconductors, consumer electronics, manufacturing, mobile apps, mobile devices",categories_and_keywords,Available,"129 Samsung-ro; Suwon-Si, Gyeonggi-Do 443-742, KR",hq_full_address,Available,19,company_locations_full,Available,2016-09-13,created_at,Available,Public,ownership_status,Available,800000000000 KRW,funding_rounds[].amount_raised,Available
8,SK Hynix,skhynix.com,https://www.linkedin.com/company/sk-hynix,User provided company list,Coresignal Multi-source Company Enrichment API,"SK Hynix, Inc",company_legal_name,Available,skhynix.com,website_domain,Available,https://www.linkedin.com/company/sk-hynix,canonical_linkedin_url,Available,7965,employees_count,Available,9.62%,employees_count_change.change_yearly_percentage,Available,"{'source_5_annual_revenue': {'annual_revenue': 52088682309, 'annual_revenue_currency': 'USD'}, 'source_1_annual_revenue': {'annual_revenue': 97146674085888.0, 'annual_revenue_currency': 'KRW'}}",revenue_annual,Available,Semiconductor Manufacturing,industry,Available,"technology, computing memory, consumer&network memory, mobile memory, nand flash, memory solutions, semiconductor design and manufacturing, enterprise ssd, client ssd, solutions for datacenter, automotive memory, solid state drive, dram, graphics memory, gaming memory, emmc, ufs, hbm, ddr, lpddr, gddr, mcp, ssd, module, buffer memory, semiconductor, memory, products, services, innovation, solutions, manufacturing-industrial, data-storage, electronics, semiconductors, b2b, manufacturing, sensor | NAICS: 33, 334 | SIC: 36, 367","categories_and_keywords, naics_codes, sic_codes",Available,"2091 Gyeongchung-daero Bubal-eub; Icheon, Gyeonggi-do, KR",hq_full_address,Available,37,company_locations_full,Available,2017-03-06,created_at,Available,Public,ownership_status,Available,503058000000 USD,funding_rounds[].amount_raised,Available
9,Infosys,infosys.com,https://www.linkedin.com/company/infosys,User provided company list,Coresignal Multi-source Company Enrichment API,Infosys Limited,company_legal_name,Available,infosys.com,website_domain,Available,https://www.linkedin.com/company/infosys,canonical_linkedin_url,Available,368994,employees_count,Available,5.43%,employees_count_change.change_yearly_percentage,Available,"{'source_5_annual_revenue': {'annual_revenue': 19818906520, 'annual_revenue_currency': 'USD'}, 'source_1_annual_revenue': {'annual_revenue': 1629899980800.0, 'annual_revenue_currency': 'INR'}}",revenue_annual,Available,IT Services and IT Consulting,industry,Available,"information technology, solution consulting providers, it strategy consulting providers, infosys, digital transformation consulting, cloud migration services, aws consulting services, business intelligence (bi) consulting, servicenow consulting services, it strategy consulting, robotic process automation (rpa) consultancy services, it infrastructure consulting, datarobot consulting services, anaplan partners, atlassian consulting services, it solutions and services, consulting, business process outsourcing, products and platforms, engineering services, cloud services, artificial intelligence, digital, big data, next-generation, global leader, digital services, technology, automation, cybersecurity, it-services, outsourcing, platform, information services, it management, software",categories_and_keywords,Available,"Infosys Limited; Bangalore, Karnataka 560100, IN",hq_full_address,Available,98,company_locations_full,Available,1981,founded_year,Available,Public,ownership_status,Available,214175000 USD,funding_rounds[].amount_raised,Available
10,BHP,bhp.com,https://www.linkedin.com/company/bhp,User provided company list,Coresignal Multi-source Company Enrichment API,BHP,company_name,Available,bhp.com,website_domain,Available,https://au.linkedin.com/company/bhp,canonical_linkedin_url,Available,40659,employees_count,Available,2.77%,employees_count_change.change_yearly_percentage,Available,"{'source_5_annual_revenue': {'annual_revenue': 55658000000, 'annual_revenue_currency': 'USD'}, 'source_1_annual_revenue': {'annual_revenue': 51262001152.0, 'annual_revenue_currency': 'USD'}}",revenue_annual,Available,Mining,industry,Available,"construction, extraction, processing and transportation, marketing and logistics, development, exploration, evaluation, returns, value, resources, global, energy-utilities, coal, exploration-development, metal-products, mining, manufacturing, precious metals",categories_and_keywords,Available,"171 Collins Street; Melbourne, Victoria 3000, AU",hq_full_address,Available,11,company_locations_full,Available,2017-02-28,created_at,Available,Public,ownership_status,Available,7531130669 USD,funding_rounds[].amount_raised,Available
