source_rank,company_name,domain,api_name,active_job_count_total,active_job_count_sg,roles_by_function,hiring_velocity_90_days,job_locations,posting_first_seen_date,source_urls,sample_job_count,data_completeness_percent,raw_response_path
1,DBS Group,dbs.com,Coresignal Multi-source Company Jobs Signals,1314,0,engineering: 29; design: 3; it: 36; sales: 64; operations: 139; other: 729,352,Not Available,Not Available,Not Available,1000,57.14,raw/coresignal/data/dbs_group.json
2,Singapore Telecommunications,singtel.com,Coresignal Multi-source Company Jobs Signals,343,0,engineering: 116; design: 12; it: 31; sales: 11; operations: 13; other: 160,-53,Not Available,Not Available,Not Available,343,57.14,raw/coresignal/data/singapore_telecommunications.json
3,United Overseas Bank,uobgroup.com,Coresignal Multi-source Company Jobs Signals,980,0,engineering: 55; design: 1; it: 59; sales: 70; operations: 65; other: 730,228,Not Available,Not Available,Not Available,980,57.14,raw/coresignal/data/united_overseas_bank.json
4,ST Engineering,stengg.com,Coresignal Multi-source Company Jobs Signals,326,0,engineering: 173; design: 0; it: 21; sales: 11; operations: 9; other: 112,228,Not Available,Not Available,Not Available,326,57.14,raw/coresignal/data/st_engineering.json
5,Toyota Motor Corporation,global.toyota,Coresignal Multi-source Company Jobs Signals,0,0,Not Available,-109,Not Available,Not Available,Not Available,0,28.57,raw/coresignal/data/toyota_motor_corporation.json
6,Sony Group Corporation,sony.com,Coresignal Multi-source Company Jobs Signals,36,0,engineering: 10; design: 0; it: 2; sales: 1; operations: 1; other: 22,-40,Not Available,Not Available,Not Available,36,57.14,raw/coresignal/data/sony_group_corporation.json
7,Samsung Electronics,samsung.com,Coresignal Multi-source Company Jobs Signals,21,0,engineering: 0; design: 0; it: 1; sales: 5; operations: 0; other: 15,-13,Not Available,Not Available,Not Available,21,57.14,raw/coresignal/data/samsung_electronics.json
8,SK Hynix,skhynix.com,Coresignal Multi-source Company Jobs Signals,5,0,engineering: 1; design: 4; it: 0; sales: 0; operations: 0; other: 0,5,Not Available,Not Available,Not Available,5,57.14,raw/coresignal/data/sk_hynix.json
9,Infosys,infosys.com,Coresignal Multi-source Company Jobs Signals,2811,0,engineering: 239; design: 9; it: 137; sales: 15; operations: 7; other: 593,412,Not Available,Not Available,Not Available,1000,57.14,raw/coresignal/data/infosys.json
10,BHP,bhp.com,Coresignal Multi-source Company Jobs Signals,176,0,engineering: 22; design: 0; it: 6; sales: 0; operations: 8; other: 140,29,Not Available,Not Available,Not Available,176,57.14,raw/coresignal/data/bhp.json
1,DBS Group,dbs.com,TheirStack Job Search API,11994,3873,engineering: 1; design: 0; it: 1; sales: 0; operations: 3; other: 5,10,"Hong Kong; Kwun Tong; Mumbai; SG; Singapore; Taipei, Taipei City; 台北市",2026-06-12,https://hk.linkedin.com/jobs/view/treasures-elite-consumer-banking-group-at-dbs-bank-4427936655; https://tw.linkedin.com/jobs/view/senior-associate-avp-specialist-product-management-deposits-secured-loans-consumer-banking-group-at-dbs-bank-4427904189; https://sg.linkedin.com/jobs/view/network-infrastructure-specialist-at-dbs-bank-4427905190; https://sg.linkedin.com/jobs/view/avp-senior-associate-innovation-analyst-transformation-and-data-group-coo-at-dbs-bank-4427948502; https://sg.linkedin.com/jobs/view/assoc-site-reliability-engineer-applicaiton-support-global-financial-markets-technology-group-technology-at-dbs-bank-4428105270; https://hk.linkedin.com/jobs/view/avp-treasures-rm-consumer-banking-group-at-dbs-bank-4427933678; https://dbs.wd3.myworkdayjobs.com/en-US/DBS_Careers/job/Taipei/AVP--Credit-Analysis--Corporate-Banking--Institutional-Banking-Group_WD85569-1; https://hk.linkedin.com/jobs/view/senior-vice-president-vice-president-head-of-corp-account-services-corporeate-banking-group-operations-at-dbs-bank-4427904190; https://www.naukri.com/job-listings-analyst-branch-operations-and-services-manager-dbs-bank-ltd-mumbai-4-to-6-years-120626504213; https://hk.linkedin.com/jobs/view/senior-vice-president-head-of-cash-operations-institution-banking-group-operations-at-dbs-bank-4427916083,10,100.00,raw/theirstack/data/dbs_group.json
2,Singapore Telecommunications,singtel.com,TheirStack Job Search API,6577,5131,engineering: 2; design: 0; it: 2; sales: 0; operations: 0; other: 6,10,"Kuala Lumpur, Federal Territory of Kuala Lumpur; Singapore",2026-06-12,https://my.linkedin.com/jobs/view/billing-team-lead-at-singtel-4399264057; https://sg.linkedin.com/jobs/view/director-cyber-security-governance-risk-and-assurance-at-singtel-4361605318; https://my.linkedin.com/jobs/view/engineer-cloud-infrastructure-virtualization-windows-at-singtel-4377147960; https://my.linkedin.com/jobs/view/manager-billing-management-at-singtel-4408762983; https://sg.linkedin.com/jobs/view/data-and-infrastructure-architect-at-singtel-4417759988; https://my.linkedin.com/jobs/view/associate-director-credit-management-at-singtel-4367132029; https://sg.linkedin.com/jobs/view/associate-director-ai-acceleration-coe-at-singtel-4361356864; https://my.linkedin.com/jobs/view/accounts-payable-executive-at-singtel-4386718596; https://sg.linkedin.com/jobs/view/optical-transmission-network-planning-manager-at-singtel-4408522525; https://my.linkedin.com/jobs/view/finance-executive-capital-management-at-singtel-4408262000,10,100.00,raw/theirstack/data/singapore_telecommunications.json
