source_rank,company_name,domain,field,internal_field,value,source_api,source_field,status,missing_or_unavailable,not_verified,reason,api_gated_column,endpoint_used,raw_response_saved,raw_response_path,credits_used_for_company,credit_evidence
1,DBS Group,dbs.com,Legal Name,Legal Name,Not Verified,Apollo Organization Enrichment API,organization.name,Not Verified,Y,Y,Apollo did not return an explicit legal_name or registered_name field. API name was returned at organization.name.,"Not Verified - Apollo returned display name, not legal_name/registered_name.",GET https://api.apollo.io/api/v1/organizations/enrich,Y,raw\apollo\dbs_group.json,1,api/v1/organizations/enrich.day.consumed: 31 -> 32
1,DBS Group,dbs.com,Website Domain,Website Domain,dbs.com,Apollo Organization Enrichment API,organization.primary_domain,Available,N,N,Returned directly by Apollo response.,N - returned by API.,GET https://api.apollo.io/api/v1/organizations/enrich,Y,raw\apollo\dbs_group.json,1,api/v1/organizations/enrich.day.consumed: 31 -> 32
1,DBS Group,dbs.com,LinkedIn URL,LinkedIn URL,http://www.linkedin.com/company/dbs-bank,Apollo Organization Enrichment API,organization.linkedin_url,Available,N,N,Returned directly by Apollo response.,N - returned by API.,GET https://api.apollo.io/api/v1/organizations/enrich,Y,raw\apollo\dbs_group.json,1,api/v1/organizations/enrich.day.consumed: 31 -> 32
1,DBS Group,dbs.com,Employee Count,Employee Count,38000,Apollo Organization Enrichment API,organization.estimated_num_employees,Available,N,N,Returned directly by Apollo response.,N - returned by API.,GET https://api.apollo.io/api/v1/organizations/enrich,Y,raw\apollo\dbs_group.json,1,api/v1/organizations/enrich.day.consumed: 31 -> 32
1,DBS Group,dbs.com,Headcount Growth (1 Year),Headcount Growth (1 Year),0.64%,Apollo Organization Enrichment API,organization.organization_headcount_twelve_month_growth,Available,N,N,Returned directly by Apollo response.,N - returned by API.,GET https://api.apollo.io/api/v1/organizations/enrich,Y,raw\apollo\dbs_group.json,1,api/v1/organizations/enrich.day.consumed: 31 -> 32
1,DBS Group,dbs.com,Revenue / Revenue Band,Revenue / Revenue Band,16.4B,Apollo Organization Enrichment API,organization.annual_revenue_printed,Available,N,N,Returned directly by Apollo response.,N - returned by API.,GET https://api.apollo.io/api/v1/organizations/enrich,Y,raw\apollo\dbs_group.json,1,api/v1/organizations/enrich.day.consumed: 31 -> 32
1,DBS Group,dbs.com,Industry,Industry,banking,Apollo Organization Enrichment API,organization.industry,Available,N,N,Returned directly by Apollo response.,N - returned by API.,GET https://api.apollo.io/api/v1/organizations/enrich,Y,raw\apollo\dbs_group.json,1,api/v1/organizations/enrich.day.consumed: 31 -> 32
1,DBS Group,dbs.com,Sub-Industry (NAICS/SIC),Sub Industry,"financial services | NAICS: 522110, 523940 | SIC: 6021, 6211",Apollo Organization Enrichment API,"organization.secondary_industries, organization.naics_codes, organization.sic_codes",Available,N,N,Returned directly by Apollo response.,N - returned by API.,GET https://api.apollo.io/api/v1/organizations/enrich,Y,raw\apollo\dbs_group.json,1,api/v1/organizations/enrich.day.consumed: 31 -> 32
1,DBS Group,dbs.com,Headquarters Location,Headquarters Location,"12 Marina Boulevard, DBS Asia Central @ Marina Bay Financial Centre Tower 3, Singapore, 018982, SG",Apollo Organization Enrichment API,organization.raw_address,Available,N,N,Returned directly by Apollo response.,N - returned by API.,GET https://api.apollo.io/api/v1/organizations/enrich,Y,raw\apollo\dbs_group.json,1,api/v1/organizations/enrich.day.consumed: 31 -> 32
1,DBS Group,dbs.com,Number of Sites/Locations (Singapore + Global),Number of Sites/Locations,Not Verified,Apollo Organization Enrichment API,organization.retail_location_count,Not Verified,Y,Y,"Apollo returned retail_location_count, but not a verified total site/location count.",Not Verified - Apollo returned retail_location_count only; Singapore + global site total was not available in this endpoint response.,GET https://api.apollo.io/api/v1/organizations/enrich,Y,raw\apollo\dbs_group.json,1,api/v1/organizations/enrich.day.consumed: 31 -> 32
