source_rank,company_name,domain,field,internal_field,value,source_api,source_field,status,missing_or_unavailable,not_verified,reason,api_gated_column,endpoint_used,raw_response_saved,raw_response_path,credits_used_for_company,credit_evidence
1,DBS Group,dbs.com,Legal Name,Legal Name,Not Verified,Apollo Organization Enrichment API,organization.name,Not Verified,Y,Y,Apollo did not return an explicit legal_name or registered_name field. API name was returned at organization.name.,"Not Verified - Apollo returned display name, not legal_name/registered_name.",GET https://api.apollo.io/api/v1/organizations/enrich,Y,raw\apollo\dbs_group.json,1,api/v1/organizations/enrich.day.consumed: 31 -> 32
1,DBS Group,dbs.com,Number of Sites/Locations (Singapore + Global),Number of Sites/Locations,Not Verified,Apollo Organization Enrichment API,organization.retail_location_count,Not Verified,Y,Y,"Apollo returned retail_location_count, but not a verified total site/location count.",Not Verified - Apollo returned retail_location_count only; Singapore + global site total was not available in this endpoint response.,GET https://api.apollo.io/api/v1/organizations/enrich,Y,raw\apollo\dbs_group.json,1,api/v1/organizations/enrich.day.consumed: 31 -> 32
1,DBS Group,dbs.com,Total Funding Raised,Total Funding Raised,Not Available,Apollo Organization Enrichment API,Not Available,Not Available,Y,N,Field absent in Apollo response.,Y/Not Verified - not returned by Apollo Organization Enrichment; likely requires another provider or paid/enhanced dataset.,GET https://api.apollo.io/api/v1/organizations/enrich,Y,raw\apollo\dbs_group.json,1,api/v1/organizations/enrich.day.consumed: 31 -> 32
2,Singapore Telecommunications,singtel.com,Legal Name,Legal Name,Not Verified,Apollo Organization Enrichment API,organization.name,Not Verified,Y,Y,Apollo did not return an explicit legal_name or registered_name field. API name was returned at organization.name.,"Not Verified - Apollo returned display name, not legal_name/registered_name.",GET https://api.apollo.io/api/v1/organizations/enrich,Y,raw\apollo\singapore_telecommunications.json,1,api/v1/organizations/enrich.day.consumed: 32 -> 33
2,Singapore Telecommunications,singtel.com,Number of Sites/Locations (Singapore + Global),Number of Sites/Locations,Not Verified,Apollo Organization Enrichment API,organization.retail_location_count,Not Verified,Y,Y,"Apollo returned retail_location_count, but not a verified total site/location count.",Not Verified - Apollo returned retail_location_count only; Singapore + global site total was not available in this endpoint response.,GET https://api.apollo.io/api/v1/organizations/enrich,Y,raw\apollo\singapore_telecommunications.json,1,api/v1/organizations/enrich.day.consumed: 32 -> 33
2,Singapore Telecommunications,singtel.com,Total Funding Raised,Total Funding Raised,Not Available,Apollo Organization Enrichment API,Not Available,Not Available,Y,N,Field absent in Apollo response.,Y/Not Verified - not returned by Apollo Organization Enrichment; likely requires another provider or paid/enhanced dataset.,GET https://api.apollo.io/api/v1/organizations/enrich,Y,raw\apollo\singapore_telecommunications.json,1,api/v1/organizations/enrich.day.consumed: 32 -> 33
3,United Overseas Bank,uobgroup.com,Legal Name,Legal Name,Not Verified,Apollo Organization Enrichment API,organization.name,Not Verified,Y,Y,Apollo did not return an explicit legal_name or registered_name field. API name was returned at organization.name.,"Not Verified - Apollo returned display name, not legal_name/registered_name.",GET https://api.apollo.io/api/v1/organizations/enrich,Y,raw\apollo\united_overseas_bank.json,1,api/v1/organizations/enrich.day.consumed: 33 -> 34
3,United Overseas Bank,uobgroup.com,Number of Sites/Locations (Singapore + Global),Number of Sites/Locations,Not Verified,Apollo Organization Enrichment API,organization.retail_location_count,Not Verified,Y,Y,"Apollo returned retail_location_count, but not a verified total site/location count.",Not Verified - Apollo returned retail_location_count only; Singapore + global site total was not available in this endpoint response.,GET https://api.apollo.io/api/v1/organizations/enrich,Y,raw\apollo\united_overseas_bank.json,1,api/v1/organizations/enrich.day.consumed: 33 -> 34
3,United Overseas Bank,uobgroup.com,Total Funding Raised,Total Funding Raised,Not Available,Apollo Organization Enrichment API,Not Available,Not Available,Y,N,Field absent in Apollo response.,Y/Not Verified - not returned by Apollo Organization Enrichment; likely requires another provider or paid/enhanced dataset.,GET https://api.apollo.io/api/v1/organizations/enrich,Y,raw\apollo\united_overseas_bank.json,1,api/v1/organizations/enrich.day.consumed: 33 -> 34
4,ST Engineering,stengg.com,Legal Name,Legal Name,Not Verified,Apollo Organization Enrichment API,organization.name,Not Verified,Y,Y,Apollo did not return an explicit legal_name or registered_name field. API name was returned at organization.name.,"Not Verified - Apollo returned display name, not legal_name/registered_name.",GET https://api.apollo.io/api/v1/organizations/enrich,Y,raw\apollo\st_engineering.json,1,api/v1/organizations/enrich.day.consumed: 34 -> 35
