source_rank,company_name,domain,field,internal_field,value,source_api,source_field,status,missing_or_unavailable,not_verified,reason,api_gated_column,endpoint_used,raw_response_saved,raw_response_path,credits_used_for_company,total_free_credits_or_tokens
1,DBS Group,dbs.com,Legal Name,Legal Name,Not Verified,Apollo Organization Enrichment API,organization.name,Not Verified,Y,Y,"Apollo Organization Enrichment returned the company display/name field only. The raw JSON has no legal_name or registered_name key, so the legal registered name cannot be certified from Apollo. Manual verification should use the company annual report, official investor-relations filing, or local corporate registry.","Not returned as legal value. Apollo returned display name only, not legal_name/registered_name.",GET https://api.apollo.io/api/v1/organizations/enrich,Y,raw\apollo\dbs_group.json,1,Apollo trial: 50 credits per public pricing FAQ; account API free allocation not returned by usage endpoint.
1,DBS Group,dbs.com,Number of Sites/Locations (Singapore + Global),Number of Sites/Locations,Not Verified,Apollo Organization Enrichment API,organization.retail_location_count,Not Verified,Y,Y,"The requested metric is Singapore + global site/location count. Apollo did not return a global office/site total. The only count-like field present is retail_location_count, which can mean retail outlets and is not equivalent to all company offices/sites.","Not returned as requested. Apollo returned only retail_location_count, which is not the Singapore + global office/site count.",GET https://api.apollo.io/api/v1/organizations/enrich,Y,raw\apollo\dbs_group.json,1,Apollo trial: 50 credits per public pricing FAQ; account API free allocation not returned by usage endpoint.
1,DBS Group,dbs.com,Total Funding Raised,Total Funding Raised,Not Available,Apollo Organization Enrichment API,Not Available,Not Available,Y,N,"The raw Apollo organization response does not contain total_funding, funding_total, total_funding_raised, latest_funding_stage, or funding-round fields. For these public listed companies, funding history may not be represented as startup-style total funding; manual validation should use investor relations, exchange filings, or a funding-focused provider.","Not returned by Apollo endpoint. Treat as provider/endpoint coverage gap, not verified as paid-gated by Apollo.",GET https://api.apollo.io/api/v1/organizations/enrich,Y,raw\apollo\dbs_group.json,1,Apollo trial: 50 credits per public pricing FAQ; account API free allocation not returned by usage endpoint.
2,Singapore Telecommunications,singtel.com,Legal Name,Legal Name,Not Verified,Apollo Organization Enrichment API,organization.name,Not Verified,Y,Y,"Apollo Organization Enrichment returned the company display/name field only. The raw JSON has no legal_name or registered_name key, so the legal registered name cannot be certified from Apollo. Manual verification should use the company annual report, official investor-relations filing, or local corporate registry.","Not returned as legal value. Apollo returned display name only, not legal_name/registered_name.",GET https://api.apollo.io/api/v1/organizations/enrich,Y,raw\apollo\singapore_telecommunications.json,1,Apollo trial: 50 credits per public pricing FAQ; account API free allocation not returned by usage endpoint.
2,Singapore Telecommunications,singtel.com,Number of Sites/Locations (Singapore + Global),Number of Sites/Locations,Not Verified,Apollo Organization Enrichment API,organization.retail_location_count,Not Verified,Y,Y,"The requested metric is Singapore + global site/location count. Apollo did not return a global office/site total. The only count-like field present is retail_location_count, which can mean retail outlets and is not equivalent to all company offices/sites.","Not returned as requested. Apollo returned only retail_location_count, which is not the Singapore + global office/site count.",GET https://api.apollo.io/api/v1/organizations/enrich,Y,raw\apollo\singapore_telecommunications.json,1,Apollo trial: 50 credits per public pricing FAQ; account API free allocation not returned by usage endpoint.
2,Singapore Telecommunications,singtel.com,Total Funding Raised,Total Funding Raised,Not Available,Apollo Organization Enrichment API,Not Available,Not Available,Y,N,"The raw Apollo organization response does not contain total_funding, funding_total, total_funding_raised, latest_funding_stage, or funding-round fields. For these public listed companies, funding history may not be represented as startup-style total funding; manual validation should use investor relations, exchange filings, or a funding-focused provider.","Not returned by Apollo endpoint. Treat as provider/endpoint coverage gap, not verified as paid-gated by Apollo.",GET https://api.apollo.io/api/v1/organizations/enrich,Y,raw\apollo\singapore_telecommunications.json,1,Apollo trial: 50 credits per public pricing FAQ; account API free allocation not returned by usage endpoint.
3,United Overseas Bank,uobgroup.com,Legal Name,Legal Name,Not Verified,Apollo Organization Enrichment API,organization.name,Not Verified,Y,Y,"Apollo Organization Enrichment returned the company display/name field only. The raw JSON has no legal_name or registered_name key, so the legal registered name cannot be certified from Apollo. Manual verification should use the company annual report, official investor-relations filing, or local corporate registry.","Not returned as legal value. Apollo returned display name only, not legal_name/registered_name.",GET https://api.apollo.io/api/v1/organizations/enrich,Y,raw\apollo\united_overseas_bank.json,1,Apollo trial: 50 credits per public pricing FAQ; account API free allocation not returned by usage endpoint.
3,United Overseas Bank,uobgroup.com,Number of Sites/Locations (Singapore + Global),Number of Sites/Locations,Not Verified,Apollo Organization Enrichment API,organization.retail_location_count,Not Verified,Y,Y,"The requested metric is Singapore + global site/location count. Apollo did not return a global office/site total. The only count-like field present is retail_location_count, which can mean retail outlets and is not equivalent to all company offices/sites.","Not returned as requested. Apollo returned only retail_location_count, which is not the Singapore + global office/site count.",GET https://api.apollo.io/api/v1/organizations/enrich,Y,raw\apollo\united_overseas_bank.json,1,Apollo trial: 50 credits per public pricing FAQ; account API free allocation not returned by usage endpoint.
3,United Overseas Bank,uobgroup.com,Total Funding Raised,Total Funding Raised,Not Available,Apollo Organization Enrichment API,Not Available,Not Available,Y,N,"The raw Apollo organization response does not contain total_funding, funding_total, total_funding_raised, latest_funding_stage, or funding-round fields. For these public listed companies, funding history may not be represented as startup-style total funding; manual validation should use investor relations, exchange filings, or a funding-focused provider.","Not returned by Apollo endpoint. Treat as provider/endpoint coverage gap, not verified as paid-gated by Apollo.",GET https://api.apollo.io/api/v1/organizations/enrich,Y,raw\apollo\united_overseas_bank.json,1,Apollo trial: 50 credits per public pricing FAQ; account API free allocation not returned by usage endpoint.
4,ST Engineering,stengg.com,Legal Name,Legal Name,Not Verified,Apollo Organization Enrichment API,organization.name,Not Verified,Y,Y,"Apollo Organization Enrichment returned the company display/name field only. The raw JSON has no legal_name or registered_name key, so the legal registered name cannot be certified from Apollo. Manual verification should use the company annual report, official investor-relations filing, or local corporate registry.","Not returned as legal value. Apollo returned display name only, not legal_name/registered_name.",GET https://api.apollo.io/api/v1/organizations/enrich,Y,raw\apollo\st_engineering.json,1,Apollo trial: 50 credits per public pricing FAQ; account API free allocation not returned by usage endpoint.
